ArrivedTime,ExecutionTime(ms),,,,,,,,,,,
10/06/2020 15:13:01.985 ,24129001,,,,,,,,,,,
10/06/2020 15:12:58.040 ,216325176,,,,,,,,,,,
10/06/2020 15:13:49.674 ,23916035,,,,,,,,,,,
10/06/2020 15:13:45.434 ,213343,,,,,,,,,,,
10/06/2020 15:12:43.888 ,33244,,,,,,,,,,,
10/06/2020 15:13:04.203 ,343432,,,,,,,,,,,
10/06/2020 15:13:57.356 ,23434,,,,,,,,,,,
10/06/2020 15:12:41.181 ,3432,,,,,,,,,,,
10/06/2020 15:12:59.477 ,5563,,,,,,,,,,,
10/06/2020 15:13:05.986 ,2344,,,,,,,,,,,
10/06/2020 15:13:52.268 ,324323,,,,,,,,,,,
10/06/2020 15:13:58.474 ,7122,,,,,,,,,,,
10/06/2020 15:14:28.615 ,51112,,,,,,,,,,,
10/06/2020 15:13:27.248 ,12232,,,,,,,,,,,
10/06/2020 15:13:31.836 ,24242,,,,,,,,,,,
10/06/2020 15:14:14.190 ,42115,,,,,,,,,,,
10/06/2020 15:13:39.547 ,16453,,,,,,,,,,,
10/06/2020 15:14:25.770 ,314211,,,,,,,,,,,
10/06/2020 15:14:26.252 ,1142,,,,,,,,,,,
10/06/2020 15:13:55.744 ,243343,,,,,,,,,,,
10/06/2020 15:14:30.141 ,132324,,,,,,,,,,,
10/06/2020 15:14:53.696 ,13422,,,,,,,,,,,
10/06/2020 15:14:26.128 ,123432,,,,,,,,,,,
10/06/2020 15:14:05.727 ,222342,,,,,,,,,,,
10/06/2020 15:11:01.120 ,2043423,,,,,,,,,,,
10/06/2020 15:13:58.018 ,211113,,,,,,,,,,,
10/06/2020 15:14:26.158 ,31113,,,,,,,,,,,
10/06/2020 15:15:00.511 ,12432,,,,,,,,,,,
10/06/2020 15:14:54.851 ,32133,,,,,,,,,,,
10/06/2020 15:14:58.097 ,12322,,,,,,,,,,,
10/06/2020 15:11:07.733 ,25826,,,,,,,,,,,
10/06/2020 15:14:12.949 ,23633,,,,,,,,,,,
10/06/2020 15:15:03.295 ,135415,,,,,,,,,,,
10/06/2020 15:14:31.794 ,1137627,,,,,,,,,,,
10/06/2020 15:11:07.413 ,247,,,,,,,,,,,
10/06/2020 15:15:31.115 ,2,,,,,,,,,,,
10/06/2020 15:10:35.329 ,259,,,,,,,,,,,
10/06/2020 15:15:43.309 ,1,,,,,,,,,,,
10/06/2020 14:51:05.559 ,23,,,,,,,,,,,
10/06/2020 14:51:29.122 ,1,,,,,,,,,,,
10/06/2020 14:51:12.895 ,22,,,,,,,,,,,
10/06/2020 14:51:23.483 ,0,,,,,,,,,,,
10/06/2020 14:51:33.292 ,28,,,,,,,,,,,
10/06/2020 14:51:36.185 ,1,,,,,,,,,,,
10/06/2020 14:51:52.024 ,1,,,,,,,,,,,
10/06/2020 14:51:09.027 ,21,,,,,,,,,,,
10/06/2020 14:51:36.027 ,0,,,,,,,,,,,
10/06/2020 14:51:06.480 ,25,,,,,,,,,,,
10/06/2020 14:51:21.629 ,1,,,,,,,,,,,
10/06/2020 14:51:50.427 ,26,,,,,,,,,,,
10/06/2020 14:51:32.986 ,28,,,,,,,,,,,
10/06/2020 14:51:06.348 ,23,,,,,,,,,,,
10/06/2020 14:50:37.946 ,31,,,,,,,,,,,
10/06/2020 14:51:27.715 ,25,,,,,,,,,,,
10/06/2020 14:52:09.541 ,1,,,,,,,,,,,
10/06/2020 14:52:04.830 ,1,,,,,,,,,,,
10/06/2020 14:51:17.288 ,28,,,,,,,,,,,
10/06/2020 14:51:19.022 ,24,,,,,,,,,,,
10/06/2020 14:51:40.959 ,0,,,,,,,,,,,
10/06/2020 14:51:27.448 ,25,,,,,,,,,,,
10/06/2020 14:51:33.752 ,31,,,,,,,,,,,
10/06/2020 14:51:55.728 ,36,,,,,,,,,,,
10/06/2020 14:52:09.578 ,0,,,,,,,,,,,
10/06/2020 14:51:26.830 ,0,,,,,,,,,,,
10/06/2020 14:51:33.126 ,6,,,,,,,,,,,
10/06/2020 14:51:26.886 ,2,,,,,,,,,,,
10/06/2020 14:51:11.787 ,24,,,,,,,,,,,
10/06/2020 14:52:09.239 ,0,,,,,,,,,,,
10/06/2020 14:52:21.461 ,3,,,,,,,,,,,
