Queue Time (ms),Response Time (s),Worker ID
0,1.77,1
0,6.18,1
0,0.63,2
0,22.31,1
0,22.39,2
0,22.44,3
0,24.25,4
0,22.74,5
0,20.31,6
0,21.83,7
0,22.35,1
0,20.44,2
0,23.93,3
0,22.87,8
0,1.4,9
0,22.37,4
0,0.12,5
0,22.57,5
0,17.74,6
0,21.96,7
0,22.28,1
0,21.29,2
0,20.41,3
0,3.68,8
0,24.03,4
0,20.28,5
0,22.05,6
0,21.69,7
0,0.16,8
0,0.15,1
0,22.23,8
0,22.53,1
0,21.11,2
0,21.28,3
0,0.12,4
0,0.12,4
0,24.58,4
0,22.7,5
0,21.51,6
0,0.18,7
0,0.17,7
0,21.84,1
0,0.34,2
0,20.49,2
0,0.2,3
0,21.66,3
0,0.12,7
0,22.24,5
0,1.27,4
0,0.25,1
0,1.31,2
0,0.21,1
0,23.43,2
0,0.22,1
0,22.21,1
0,0.12,4
0,0.22,4
0,0.23,3
0,0.29,4
0,0.22,6
0,0.21,3
0,0.3,4
0,0.2,3
0,22.19,6
0,22.48,3
0,0.13,4
0,22.94,4
0,19.3,5
0,0.14,7
0,0.12,7
0,21.67,7
0,22.21,8
0,0.14,9
0,0.14,1
0,0.12,1
0,0.11,1
0,302.9,1
0,353.57,2
0,0.94,3
0,0.93,3
0,52.09,3
0,45.05,4
0,1.03,5
0,33.14,1
0,0.42,5
0,59.53,5
0,0.44,6
0,66.96,6
0,56.3,7
0,0.74,8
0,96.46,8
0,74.32,9
0,0.14,10
0,100.27,10
0,52.06,11
0,101.07,12
0,116.66,13
0,45.13,14
0,141.92,15
0,142.49,16
0,99.47,17
0,81.68,18
0,140.15,19
0,158.87,20
0,191.05,21
0,0.16,1
0,10.15,22
0,198.22,1
0,209.61,23
0,180.48,4
0,0.1,24
0,0.15,3
0,178.28,3
0,0.12,22
0,195.54,22
0,141.6,24
0,262.5,25
0,186.01,2
0,234.36,26
0,0.13,27
0,246.46,27
0,221.41,28
0,297.18,29
0,0.13,30
0,234.27,30
3.71,134.14,5
3.86,268.26,7
3.21,3.33,14
1.43,1.56,14
0,218.69,14
1.89,233.6,31
1.63,150.32,32
0.62,155.64,33
0,0.21,11
0,36.29,11
1.01,2.83,6
1.96,2.11,6
